Source,Target,Type,Weight
231425,88,Directed,1
82945,64997,Directed,1
82945,16344,Directed,1
252417,59,Directed,1
110598,88,Directed,1
75290,42974,Directed,1
137242,103921,Directed,1
251419,3393,Directed,1
58912,50733,Directed,1
58912,88,Directed,1
58912,1988,Directed,1
33833,2014,Directed,1
33833,88,Directed,1
33833,1988,Directed,1
33833,349,Directed,1
33833,677,Directed,1
43055,71909,Directed,1
138800,13641,Directed,1
138800,5226,Directed,1
138800,248,Directed,1
138800,206,Directed,1
299063,519,Directed,1
299063,8,Directed,1
260155,14650,Directed,1
248893,48073,Directed,1
233022,267152,Directed,1
180798,979,Directed,1
443469,352,Directed,1
50258,33833,Directed,1
50258,5226,Directed,1
355926,1553,Directed,1
162399,16344,Directed,1
334946,1062,Directed,1
329829,1292,Directed,1
329829,677,Directed,1
329829,88,Directed,1
47217,857,Directed,1
310906,81236,Directed,1
401556,2347,Directed,1
439445,22349,Directed,1
283287,263179,Directed,1
408216,69779,Directed,1
148121,148125,Directed,1
12961,88,Directed,1
12961,1988,Directed,1
677,132690,Directed,1
677,88,Directed,1
390311,14454,Directed,1
157354,113944,Directed,1
341679,68278,Directed,1
34479,2567,Directed,1
34479,88,Directed,1
388272,677,Directed,1
388272,5226,Directed,1
388272,88,Directed,1
154813,7698,Directed,1
131776,5226,Directed,1
131776,519,Directed,1
393932,1988,Directed,1
118476,88,Directed,1
406231,59945,Directed,1
126681,88,Directed,1
126681,349,Directed,1
126681,1988,Directed,1
255712,88,Directed,1
225505,3549,Directed,1
241892,8,Directed,1
241892,1988,Directed,1
203496,7540,Directed,1
203496,19153,Directed,1
132850,349,Directed,1
259319,14376,Directed,1
420607,57543,Directed,1
77058,128781,Directed,1
77058,8,Directed,1
77058,88,Directed,1
167177,9175,Directed,1
128781,88,Directed,1
329485,68278,Directed,1
32527,2185,Directed,1
341261,49159,Directed,1
258838,88,Directed,1
115999,7436,Directed,1
115999,3571,Directed,1
115999,11714,Directed,1
265505,112050,Directed,1
184101,73485,Directed,1
269608,2014,Directed,1
113979,28664,Directed,1
131387,132690,Directed,1
207165,35248,Directed,1
235841,5795,Directed,1
78658,979,Directed,1
41285,468,Directed,1
41285,349,Directed,1
41285,1988,Directed,1
270663,248,Directed,1
181064,22779,Directed,1
309074,40298,Directed,1
237395,284374,Directed,1
38738,66793,Directed,1
57688,66111,Directed,1
57688,519,Directed,1
57688,6948,Directed,1
64345,88,Directed,1
124254,7627,Directed,1
226146,3549,Directed,1
222053,36875,Directed,1
33642,60810,Directed,1
33642,2567,Directed,1
4974,3571,Directed,1
4974,7436,Directed,1
4974,2567,Directed,1
4974,1988,Directed,1
106351,3393,Directed,1
106351,7436,Directed,1
106351,14454,Directed,1
234866,60961,Directed,1
211314,11714,Directed,1
330615,16460,Directed,1
330615,88,Directed,1
394113,349,Directed,1
394113,677,Directed,1
307074,249589,Directed,1
41863,9906,Directed,1
60810,3571,Directed,1
267152,677,Directed,1
387476,19153,Directed,1
387476,14549,Directed,1
270233,69417,Directed,1
117145,3571,Directed,1
4509,61781,Directed,1
4509,349,Directed,1
4509,677,Directed,1
4509,3549,Directed,1
4509,1988,Directed,1
411553,2839,Directed,1
273314,205,Directed,1
273314,5226,Directed,1
57763,172959,Directed,1
258985,10855,Directed,1
48556,349,Directed,1
48556,5226,Directed,1
443822,206,Directed,1
20919,34963,Directed,1
34233,14549,Directed,1
162755,3571,Directed,1
37319,91500,Directed,1
37319,88,Directed,1
95688,3393,Directed,1
362440,71601,Directed,1
86988,65544,Directed,1
429519,68278,Directed,1
298960,105232,Directed,1
363476,7627,Directed,1
353237,62217,Directed,1
468,1988,Directed,1
42974,1988,Directed,1
2014,33833,Directed,1
326123,326124,Directed,1
428012,6948,Directed,1
53228,14564,Directed,1
397808,171,Directed,1
103921,137242,Directed,1
232947,59542,Directed,1
28664,88,Directed,1
28664,14454,Directed,1
423419,66278,Directed,1
423419,6948,Directed,1
